Gender,Married,Dependents,Education,Self Employed,Property Area,Home Ownership,Loan Purpose,Age,Applicant Income($),Coapplicant Income($),Loan Amount($000),Loan Term(months),Credit History,Credit Score,Employment Years,Existing Loans,Loan Approved
Male,No,0,Graduate,No,Rural,Rent,Business,42,3147,462,207,360,1,561,29,1,0
Female,No,0,Not Graduate,No,Rural,Own,Education,31,7391,639,208,240,1,850,25,0,1
Male,Yes,0,Graduate,No,Urban,Own,Education,64,1928,1078,75,240,1,611,34,0,0
Female,No,1,Graduate,Yes,Semiurban,Rent,Personal,48,3595,190,200,360,1,745,0,1,1
Female,Yes,2,Graduate,No,Semiurban,Mortgage,Home,34,7485,0,196,180,1,714,28,1,1
Male,Yes,0,Not Graduate,Yes,Semiurban,Rent,Car,34,10974,775,20,360,1,740,28,0,1
Female,Yes,2,Graduate,No,Rural,Rent,Education,57,8063,702,38,240,1,652,5,0,1
Male,No,0,Graduate,No,Urban,Rent,Car,56,7289,579,211,360,1,720,22,0,1
Female,Yes,0,Graduate,No,Rural,Own,Education,64,9026,2427,146,360,1,850,12,1,1
Male,Yes,0,Graduate,No,Semiurban,Own,Debt Consolidation,58,4659,695,225,300,1,684,1,0,1
Female,No,1,Graduate,No,Semiurban,Rent,Home,28,1592,316,283,360,1,640,1,2,0
Male,No,1,Graduate,No,Semiurban,Rent,Car,44,3580,782,236,300,1,614,10,1,0
Male,No,0,Graduate,Yes,Urban,Rent,Personal,21,8973,1189,111,300,0,708,18,3,0
Male,Yes,0,Not Graduate,No,Semiurban,Rent,Business,65,2314,580,117,300,1,656,15,2,0
Female,No,1,Graduate,No,Semiurban,Rent,Debt Consolidation,58,5035,0,139,360,1,645,31,0,1
Female,No,2,Not Graduate,No,Rural,Rent,Home,60,5520,577,187,360,1,691,1,1,1
Male,Yes,0,Not Graduate,No,Rural,Own,Personal,56,6504,2907,231,360,1,621,8,1,0
Male,Yes,2,Not Graduate,No,Rural,Own,Personal,24,6977,3746,27,360,0,687,7,1,0
Male,No,1,Not Graduate,No,Rural,Own,Debt Consolidation,53,7101,286,156,360,1,613,4,1,0
Male,No,1,Graduate,No,Rural,Mortgage,Home,60,13104,1939,212,360,1,781,28,1,1
Male,Yes,0,Graduate,No,Urban,Mortgage,Education,52,7401,5037,236,300,1,577,10,0,0
Male,Yes,3+,Graduate,No,Semiurban,Mortgage,Car,61,9168,2563,236,360,1,637,30,0,1
Female,Yes,1,Graduate,No,Urban,Mortgage,Business,50,5562,2780,27,360,0,841,10,1,1
Female,Yes,0,Graduate,No,Semiurban,Rent,Home,37,10607,2548,25,360,1,636,13,0,1
Male,No,2,Graduate,No,Rural,Rent,Education,40,3388,0,181,300,1,640,34,0,0
Female,No,2,Not Graduate,No,Rural,Mortgage,Home,45,8064,1597,269,360,1,668,30,0,1
Male,No,2,Graduate,No,Semiurban,Mortgage,Car,35,5143,0,166,360,1,756,6,1,1
Female,No,2,Graduate,No,Semiurban,Rent,Personal,24,7985,1268,145,360,1,553,6,3,0
Male,Yes,0,Graduate,No,Urban,Mortgage,Education,45,6847,5198,63,360,1,722,5,2,1
Female,Yes,2,Graduate,No,Rural,Own,Personal,34,8758,1288,97,360,0,558,20,0,0
Female,No,0,Graduate,No,Urban,Rent,Home,46,6733,203,82,360,1,828,18,0,1
Female,Yes,2,Not Graduate,No,Urban,Rent,Business,67,5293,1731,128,360,1,647,30,1,1
Male,No,0,Graduate,Yes,Urban,Own,Home,54,8039,1175,102,240,1,445,27,3,0
Female,Yes,0,Not Graduate,Yes,Rural,Rent,Home,66,3281,1742,188,240,1,825,32,1,1
Male,No,0,Graduate,No,Semiurban,Rent,Personal,61,1200,0,236,300,1,774,13,0,0
Male,Yes,2,Graduate,No,Semiurban,Mortgage,Home,54,1200,5318,127,240,0,626,28,0,0
Female,No,1,Graduate,No,Urban,Own,Car,27,10148,575,110,360,1,594,8,0,1
Male,Yes,2,Graduate,No,Urban,Rent,Debt Consolidation,21,6093,4692,105,360,1,593,6,1,1
Female,Yes,0,Graduate,No,Urban,Rent,Home,28,6669,2589,270,360,1,604,5,2,0
Female,Yes,0,Graduate,No,Urban,Mortgage,Debt Consolidation,22,4506,4725,69,300,1,728,22,0,1
Male,Yes,1,Not Graduate,Yes,Semiurban,Mortgage,Home,45,6253,2344,157,240,1,754,30,1,1
Female,No,0,Graduate,No,Urban,Mortgage,Car,50,3587,0,68,360,1,494,30,2,0
Male,Yes,1,Graduate,No,Semiurban,Own,Business,47,5369,0,20,300,1,666,10,0,1
Male,No,3+,Not Graduate,No,Semiurban,Mortgage,Home,32,1200,0,116,360,0,710,20,0,0
Male,Yes,1,Graduate,No,Semiurban,Rent,Business,41,1200,4941,151,240,1,585,9,3,0
Female,No,0,Graduate,No,Rural,Mortgage,Debt Consolidation,52,2021,922,82,360,1,762,14,1,1
Male,No,1,Graduate,No,Urban,Mortgage,Car,35,3209,0,76,300,0,508,17,2,0
Male,Yes,3+,Graduate,No,Semiurban,Mortgage,Business,25,8979,3618,61,300,0,635,13,1,0
Male,No,1,Not Graduate,No,Urban,Mortgage,Car,29,12008,2358,127,360,1,756,2,0,1
Female,Yes,2,Graduate,No,Rural,Mortgage,Business,69,8398,362,133,360,1,670,10,3,0
Female,No,0,Graduate,No,Rural,Mortgage,Education,31,1200,1325,247,240,1,599,24,1,0
Female,Yes,2,Graduate,No,Urban,Mortgage,Education,26,10018,964,207,120,1,718,6,1,1
Female,Yes,0,Graduate,No,Urban,Rent,Home,61,4418,3247,142,300,1,586,0,2,0
Female,Yes,2,Graduate,No,Urban,Mortgage,Business,37,1348,3677,55,180,1,763,20,1,1
Male,No,2,Graduate,Yes,Urban,Rent,Education,67,10366,498,62,360,1,578,29,0,1
Male,No,3+,Not Graduate,No,Urban,Rent,Car,25,4363,507,181,180,1,788,21,0,1
Female,No,0,Graduate,No,Urban,Mortgage,Education,23,2913,100,304,360,0,773,28,0,0
Female,No,2,Graduate,No,Urban,Own,Car,39,4014,1813,130,360,0,850,25,1,1
Male,Yes,0,Graduate,Yes,Urban,Rent,Car,65,4566,1535,24,240,1,643,0,0,0
Male,No,1,Graduate,No,Urban,Mortgage,Home,37,6998,358,193,180,0,708,11,1,0
Female,No,1,Graduate,No,Urban,Rent,Home,56,5955,164,227,180,0,579,15,0,0
Male,No,1,Not Graduate,No,Semiurban,Rent,Home,52,3732,106,169,300,1,810,19,0,1
Female,Yes,0,Not Graduate,No,Rural,Mortgage,Home,24,1200,1835,141,300,1,671,27,0,1
Male,No,1,Graduate,No,Urban,Rent,Personal,63,3373,239,92,180,1,811,25,1,1
Male,No,1,Not Graduate,No,Urban,Mortgage,Home,26,6054,893,82,360,1,782,27,0,1
Female,Yes,1,Not Graduate,No,Rural,Mortgage,Car,60,3509,2187,176,300,1,673,0,3,0
Male,No,1,Graduate,No,Urban,Mortgage,Business,26,5782,1810,82,240,0,689,12,0,0
Male,Yes,2,Not Graduate,No,Urban,Mortgage,Business,56,5421,0,169,120,1,682,18,0,1
Female,No,0,Not Graduate,No,Semiurban,Rent,Home,64,8385,0,89,360,1,687,20,1,1
Female,Yes,0,Not Graduate,No,Urban,Mortgage,Debt Consolidation,69,6147,0,211,300,0,689,26,1,0
Male,Yes,1,Graduate,No,Semiurban,Rent,Home,53,7682,2381,117,300,0,597,15,1,0
Male,Yes,2,Graduate,No,Rural,Mortgage,Education,23,4827,2384,138,360,1,705,21,1,1
Female,Yes,0,Not Graduate,No,Semiurban,Own,Personal,22,9675,4723,177,360,1,720,21,0,1
Female,Yes,0,Graduate,No,Rural,Mortgage,Education,59,4225,3071,229,240,0,560,34,0,0
Male,Yes,3+,Not Graduate,No,Urban,Rent,Debt Consolidation,43,3215,1283,199,360,1,818,19,0,1
Male,Yes,2,Graduate,No,Urban,Mortgage,Business,27,8887,2358,152,360,1,505,34,2,0
Male,Yes,1,Graduate,No,Semiurban,Mortgage,Car,34,3771,3966,149,240,1,720,28,0,1
Male,Yes,2,Not Graduate,No,Semiurban,Rent,Home,50,2573,0,68,180,0,636,18,0,0
Male,Yes,3+,Graduate,No,Semiurban,Rent,Personal,25,2495,3172,128,360,1,600,30,1,0
Female,No,1,Graduate,No,Semiurban,Mortgage,Personal,60,4107,723,246,240,1,660,10,0,0
Male,No,0,Not Graduate,No,Urban,Mortgage,Business,59,4710,920,154,180,1,629,31,2,0
Male,No,1,Not Graduate,No,Rural,Mortgage,Car,53,6483,0,93,180,1,780,16,1,1
Female,No,3+,Graduate,No,Urban,Mortgage,Business,47,7408,818,199,360,1,516,15,0,0
Female,Yes,1,Graduate,No,Rural,Mortgage,Home,26,5480,0,158,360,1,603,33,0,1
Male,No,0,Graduate,No,Urban,Own,Car,40,7868,0,20,360,0,692,2,2,0
Female,Yes,3+,Graduate,Yes,Semiurban,Rent,Debt Consolidation,30,7523,1435,86,240,0,590,5,0,0
Female,Yes,2,Not Graduate,No,Semiurban,Rent,Home,48,2998,2130,62,360,1,673,22,2,0
Female,Yes,0,Graduate,No,Semiurban,Mortgage,Business,64,2864,2605,73,360,1,729,6,1,1
Male,Yes,3+,Graduate,Yes,Rural,Mortgage,Home,64,4244,0,100,300,1,591,25,0,0
Male,No,2,Graduate,No,Semiurban,Rent,Personal,65,1200,659,190,360,1,592,5,0,0
Female,No,2,Graduate,No,Semiurban,Own,Education,37,5612,586,78,180,1,564,0,0,0
Male,Yes,3+,Graduate,No,Rural,Rent,Car,57,4816,0,52,300,1,583,31,1,0
Male,Yes,0,Graduate,No,Urban,Mortgage,Education,42,9641,1843,197,180,1,747,4,3,1
Male,Yes,2,Not Graduate,No,Semiurban,Mortgage,Personal,35,8261,1904,137,360,1,666,23,0,1
Female,Yes,0,Not Graduate,Yes,Semiurban,Rent,Personal,58,4625,3054,205,240,1,614,7,0,0
Female,Yes,2,Graduate,No,Urban,Own,Car,33,7945,2833,155,120,0,556,30,0,0
Male,Yes,2,Not Graduate,No,Urban,Own,Business,52,4981,0,406,360,1,630,24,0,0
Female,Yes,2,Graduate,Yes,Urban,Rent,Car,24,6628,0,134,180,1,644,18,0,1
Male,Yes,2,Graduate,No,Urban,Rent,Education,50,1200,1081,87,360,1,518,7,2,0
Female,No,2,Graduate,Yes,Semiurban,Own,Business,43,3952,554,163,360,0,706,29,0,0
Female,No,0,Graduate,No,Semiurban,Own,Car,24,5832,1274,123,240,1,604,16,0,1
Male,No,0,Graduate,No,Urban,Mortgage,Car,40,4712,1201,169,300,0,611,22,1,0
Male,Yes,0,Not Graduate,No,Semiurban,Rent,Home,65,8769,4569,123,180,1,669,11,0,1
Male,Yes,2,Graduate,No,Urban,Rent,Business,33,6338,3232,230,360,1,725,5,2,1
Female,No,1,Graduate,Yes,Rural,Rent,Personal,40,6998,1985,234,360,1,537,16,0,0
Female,No,1,Graduate,No,Rural,Mortgage,Debt Consolidation,52,5964,223,104,180,1,612,3,0,1
Female,Yes,0,Not Graduate,No,Urban,Mortgage,Debt Consolidation,27,5451,205,195,360,1,618,33,0,1
Female,No,1,Graduate,Yes,Urban,Mortgage,Personal,31,7800,226,208,360,0,548,6,2,0
Male,Yes,1,Not Graduate,No,Rural,Own,Education,36,10050,6739,219,240,1,758,20,1,1
Female,No,3+,Not Graduate,Yes,Semiurban,Rent,Personal,25,1200,223,49,360,0,736,8,1,0
Male,No,2,Graduate,No,Urban,Rent,Car,44,2777,0,175,360,0,645,26,1,0
Male,Yes,1,Graduate,No,Semiurban,Rent,Education,42,5555,0,73,180,1,653,18,0,1
Female,No,2,Graduate,Yes,Semiurban,Mortgage,Debt Consolidation,29,8906,1510,110,300,1,804,15,1,1
Female,No,0,Graduate,No,Rural,Mortgage,Business,56,7449,0,152,360,1,597,10,0,1
Male,No,0,Graduate,No,Rural,Own,Business,48,3282,630,102,360,1,587,31,0,0
Male,No,1,Not Graduate,No,Urban,Rent,Business,30,4386,0,146,360,1,726,19,0,1
Female,No,2,Not Graduate,No,Semiurban,Own,Personal,34,7359,0,205,240,1,594,29,1,0
Female,Yes,0,Graduate,No,Rural,Mortgage,Home,49,3844,460,167,360,1,694,5,0,0
Female,No,0,Graduate,No,Urban,Rent,Car,35,6138,501,113,240,1,614,34,2,0
Male,No,1,Graduate,Yes,Rural,Own,Debt Consolidation,25,3632,0,158,360,0,637,17,1,0
Male,No,0,Graduate,No,Semiurban,Rent,Debt Consolidation,58,6671,617,161,240,0,669,31,1,0
Male,Yes,0,Graduate,No,Urban,Mortgage,Education,34,7055,1315,186,360,1,543,10,1,0
Female,Yes,1,Not Graduate,No,Rural,Mortgage,Car,52,1200,3506,79,300,1,805,19,0,1
Female,Yes,3+,Graduate,No,Semiurban,Mortgage,Personal,61,10077,2406,126,120,1,709,5,1,1
Male,Yes,0,Graduate,Yes,Urban,Mortgage,Debt Consolidation,24,10359,2914,147,180,1,634,7,2,1
Male,No,0,Graduate,Yes,Semiurban,Own,Car,28,1200,129,256,240,1,582,1,0,0
Male,Yes,0,Graduate,No,Semiurban,Mortgage,Personal,33,4806,644,91,180,1,514,9,0,0
Female,No,0,Not Graduate,No,Semiurban,Rent,Debt Consolidation,53,1200,1380,165,180,0,759,18,0,0
Female,Yes,2,Not Graduate,No,Urban,Own,Education,21,1200,3015,111,240,1,681,7,0,0
Male,Yes,0,Graduate,Yes,Semiurban,Rent,Home,21,7507,212,74,360,1,488,20,0,0
Male,No,0,Graduate,No,Rural,Mortgage,Personal,60,10111,1515,174,360,1,719,33,3,1
Female,Yes,3+,Not Graduate,No,Rural,Own,Business,47,5340,3133,105,300,1,701,28,0,1
Male,Yes,2,Graduate,No,Urban,Rent,Personal,27,9461,982,215,180,1,841,25,2,1
Female,Yes,0,Graduate,No,Rural,Rent,Business,32,3678,2676,89,360,1,850,22,1,1
Male,No,0,Not Graduate,No,Urban,Own,Car,47,1630,509,139,300,1,714,16,0,1
Male,No,2,Graduate,No,Rural,Rent,Debt Consolidation,31,4387,1263,164,360,1,824,13,2,1
Female,No,1,Graduate,Yes,Urban,Mortgage,Business,27,3363,0,145,360,1,731,17,1,0
Male,Yes,3+,Graduate,No,Rural,Rent,Education,45,6515,4581,47,180,1,699,25,1,1
Male,Yes,0,Graduate,Yes,Rural,Rent,Education,24,8227,4486,53,240,1,608,10,0,1
Male,No,2,Not Graduate,No,Rural,Mortgage,Personal,69,2399,722,180,360,1,747,18,0,1
Male,Yes,0,Not Graduate,No,Urban,Own,Business,57,1879,5708,233,360,1,698,20,1,1
Male,No,0,Graduate,Yes,Rural,Mortgage,Home,32,7685,511,58,120,0,678,26,3,0
Male,Yes,2,Graduate,No,Urban,Rent,Car,67,4489,3886,20,300,1,736,31,0,1
